id,title,brand,reference,price_raw,price,price_original_raw,price_original,discount_percent,url,image_small,image_large,description,promo_type,scrape_date
,Aviator flyback edition - Paris Bleu,Paris Bleu,3442151001630,"63,000 TND",63.0,"71,000 TND",71.0,8.0,https://cosmetique.tn/eaux-de-parfum-homme/6388-aviator-flyback-edition-paris-bleu.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/15702-thickbox_default/aviator-flyback-edition-paris-bleu.jpg,"AVIATOR FLYBACK EDITION s’adresse aux hommes avides de sensations fortes.
Ce parfum incarne une masculinité aventurière et virile et invite à se dépasser.
Aller toujours plus haut, plus loin, débrayer le chrono, l’homme CYRUS se découvre ici explorateur et aventurier, en quête de nouveaux horizons. Il aime gravir des sommets et surmontez les obstacles....",Standard,2025-11-24
,Bellaoggi coverpro correcteur 001,Bellaoggi,8028997987113,"30,000 TND",30.0,"36,000 TND",36.0,6.0,https://cosmetique.tn/correcteur-et-anti-cernes/8887-bellaoggi-coverpro-correcteur-001-.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20950-thickbox_default/bellaoggi-coverpro-correcteur-001-.jpg,"Bellaoggi CoverPro Correcteur 
Durabilité de 24 heures
Fournit une couverture naturelle
Donne un aspect uniforme à la peau
Facile et confortable à utiliser
Couvre les ridules et les taches brunes
Recommandé pour tous les types de peau
3,5 ml
Sans cruauté",Standard,2025-11-24
,Bellaoggi coverpro correcteur 003,Bellaoggi,8028997987175,"30,000 TND",30.0,"36,000 TND",36.0,6.0,https://cosmetique.tn/correcteur-et-anti-cernes/8889-bellaoggi-coverpro-correcteur-003.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20957-thickbox_default/bellaoggi-coverpro-correcteur-003.jpg,"Bellaoggi CoverPro Correcteur 

Durabilité de 24 heures
Fournit une couverture naturelle
Donne un aspect uniforme à la peau
Facile et confortable à utiliser
Couvre les ridules et les taches brunes
Recommandé pour tous les types de peau
3,5 ml
Sans cruauté",Standard,2025-11-24
,Bellaoggi coverpro correcteur 004,Bellaoggi,8028997987205,"30,000 TND",30.0,"36,000 TND",36.0,6.0,https://cosmetique.tn/correcteur-et-anti-cernes/8890-bellaoggi-coverpro-correcteur-004.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20960-thickbox_default/bellaoggi-coverpro-correcteur-004.jpg,"Bellaoggi CoverPro Correcteur 
Durabilité de 24 heures
Fournit une couverture naturelle
Donne un aspect uniforme à la peau
Facile et confortable à utiliser
Couvre les ridules et les taches brunes
Recommandé pour tous les types de peau
3,5 ml
Sans cruauté",Standard,2025-11-24
,Bellaoggi fond de teint mat my skin tone 12h 30ml 001,Bellaoggi,8028997081064,"50,000 TND",50.0,"66,000 TND",66.0,16.0,https://cosmetique.tn/fonds-de-teint/8891-bellaoggi-fond-de-teint-mat-my-skin-tone-12h-30ml-001.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20961-thickbox_default/bellaoggi-fond-de-teint-mat-my-skin-tone-12h-30ml-001.jpg,"Un fond de teint liquide nouvelle génération, matifiant et lissant qui offre une excellente couvrance jusqu'à 12 heures. L'équilibre harmonieux des huiles de silicone avec d'autres ingrédients innovants longue durée recouvre la peau de manière mate et veloutée et donne un fini naturel longue durée. Le fond de teint donne à la peau un teint naturel, la...",Standard,2025-11-24
,Bellaoggi fond de teint mat my skin tone 12h 30ml 002,Bellaoggi,8028997081095,"50,000 TND",50.0,"66,000 TND",66.0,16.0,https://cosmetique.tn/fonds-de-teint/8892-bellaoggi-fond-de-teint-mat-my-skin-tone-12h-30ml-002.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20965-thickbox_default/bellaoggi-fond-de-teint-mat-my-skin-tone-12h-30ml-002.jpg,"Un fond de teint liquide nouvelle génération, matifiant et lissant qui offre une excellente couvrance jusqu'à 12 heures. L'équilibre harmonieux des huiles de silicone avec d'autres ingrédients innovants longue durée recouvre la peau de manière mate et veloutée et donne un fini naturel longue durée. Le fond de teint donne à la peau un teint naturel, la...",Standard,2025-11-24
,Bellaoggi fond de teint mat my skin tone 12h 30ml 003,Bellaoggi,8028997081125,"50,000 TND",50.0,"66,000 TND",66.0,16.0,https://cosmetique.tn/fonds-de-teint/8893-bellaoggi-fond-de-teint-mat-my-skin-tone-12h-30ml-003.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20968-thickbox_default/bellaoggi-fond-de-teint-mat-my-skin-tone-12h-30ml-003.jpg,"Un fond de teint liquide nouvelle génération, matifiant et lissant qui offre une excellente couvrance jusqu'à 12 heures. L'équilibre harmonieux des huiles de silicone avec d'autres ingrédients innovants longue durée recouvre la peau de manière mate et veloutée et donne un fini naturel longue durée. Le fond de teint donne à la peau un teint naturel, la...",Standard,2025-11-24
,Bellaoggi fond de teint my skin glow 001 SPF 20,Bellaoggi,8028997106613,"34,000 TND",34.0,"43,000 TND",43.0,9.0,https://cosmetique.tn/fonds-de-teint/8895-bellaoggi-fond-de-teint-my-skin-glow-001-spf-20.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20970-thickbox_default/bellaoggi-fond-de-teint-my-skin-glow-001-spf-20.jpg,"Bellaoggi Fond de teint My Skin Glow SPF 20

Hydrate et apaise
Effet brillant
Avec de l'acide hyaluronique
30 ml
Sans cruauté",Standard,2025-11-24
,Bellaoggi fond de teint my skin glow 004 SPF 20,Bellaoggi,8028997106705,"34,000 TND",34.0,"43,000 TND",43.0,9.0,https://cosmetique.tn/fonds-de-teint/8898-bellaoggi-fond-de-teint-my-skin-glow-004-spf-20.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20980-thickbox_default/bellaoggi-fond-de-teint-my-skin-glow-004-spf-20.jpg,"Bellaoggi Fond de teint My Skin Glow SPF 20

Hydrate et apaise
Effet brillant
Avec de l'acide hyaluronique
30 ml
Sans cruauté",Standard,2025-11-24
,Bellaoggi i brow tint 02,Bellaoggi,8028997097126,"25,500 TND",25.5,"29,500 TND",29.5,4.0,https://cosmetique.tn/gel-sourcils/8881-bellaoggi-i-brow-tint-02.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20941-thickbox_default/bellaoggi-i-brow-tint-02.jpg,"Le marqueur à sourcils est facile et pratique à utiliser, tonifie et remplit la ligne des sourcils, et l'applicateur spécial à trois broches donne une arcade sourcilière naturelle et impeccable avec un effet microblading de ligne ultra-fine qui dure 24 heures, imperméable.",Standard,2025-11-24
,"Bellaoggi instayoung anti-âge anti-cernes 4,2ml 001",Bellaoggi,8028997106408,"30,000 TND",30.0,"36,000 TND",36.0,6.0,https://cosmetique.tn/correcteur-et-anti-cernes/8901-bellaoggi-instayoung-anti-age-anti-cernes-42ml-001.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20982-thickbox_default/bellaoggi-instayoung-anti-age-anti-cernes-42ml-001.jpg,"Instayoung Anti-Âge Anti-cernes 4,2 ml
Le problème des cernes et des imperfections cutanées vous dérange ? Vous souhaitez une solution immédiate et super naturelle ? voici à votre secours la toute nouvelle ligne de Bellaoggi Instayoung, le correcteur qui masque parfaitement les cernes, les poches et les petites rides, rendant la peau légèrement lisse et...",Standard,2025-11-24
,"Bellaoggi instayoung anti-âge anti-cernes 4,2ml 002",Bellaoggi,8028997106422,"30,000 TND",30.0,"36,000 TND",36.0,6.0,https://cosmetique.tn/correcteur-et-anti-cernes/8902-bellaoggi-instayoung-anti-age-anti-cernes-42ml-002.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20984-thickbox_default/bellaoggi-instayoung-anti-age-anti-cernes-42ml-002.jpg,"Instayoung Anti-Âge Anti-cernes 4,2 ml
Le problème des cernes et des imperfections cutanées vous dérange ? Vous souhaitez une solution immédiate et super naturelle ? voici à votre secours la toute nouvelle ligne de Bellaoggi Instayoung, le correcteur qui masque parfaitement les cernes, les poches et les petites rides, rendant la peau légèrement lisse et...",Standard,2025-11-24
,"Bellaoggi instayoung anti-âge anti-cernes 4,2ml 003",Bellaoggi,8028997106446,"30,000 TND",30.0,"36,000 TND",36.0,6.0,https://cosmetique.tn/correcteur-et-anti-cernes/8903-bellaoggi-instayoung-anti-age-anti-cernes-42ml-003.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20986-thickbox_default/bellaoggi-instayoung-anti-age-anti-cernes-42ml-003.jpg,"Instayoung Anti-Âge Anti-cernes 4,2 ml
Le problème des cernes et des imperfections cutanées vous dérange ? Vous souhaitez une solution immédiate et super naturelle ? voici à votre secours la toute nouvelle ligne de Bellaoggi Instayoung, le correcteur qui masque parfaitement les cernes, les poches et les petites rides, rendant la peau légèrement lisse et...",Standard,2025-11-24
,"Bellaoggi instayoung anti-âge anti-cernes 4,2ml 004",Bellaoggi,8028997106460,"30,000 TND",30.0,"36,000 TND",36.0,6.0,https://cosmetique.tn/correcteur-et-anti-cernes/8904-bellaoggi-instayoung-anti-age-anti-cernes-42ml-004.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20988-thickbox_default/bellaoggi-instayoung-anti-age-anti-cernes-42ml-004.jpg,"Instayoung Anti-Âge Anti-cernes 4,2 ml
Le problème des cernes et des imperfections cutanées vous dérange ? Vous souhaitez une solution immédiate et super naturelle ? voici à votre secours la toute nouvelle ligne de Bellaoggi Instayoung, le correcteur qui masque parfaitement les cernes, les poches et les petites rides, rendant la peau légèrement lisse et...",Standard,2025-11-24
,Best seller eau de toilette pour femme 95ml-camara,Camara Perfumes,6291107920429,"60,000 TND",60.0,"88,000 TND",88.0,28.0,https://cosmetique.tn/eaux-de-toilette-femmes/5130-best-seller-eau-de-toilette-pour-femme-95ml-camara.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/12159-thickbox_default/best-seller-eau-de-toilette-pour-femme-95ml-camara.jpg,"Ce parfum est fabriqué par Camara Perfumes .Le parfum  Best-seller vous racontera des histoires d'amour incroyables avec de belles fins. Ce parfum floral fruité classique et sophistiqué , les riches fleurs boisées sont adaptées pour être votre parfum signature d'amour.Les notes de tete sont: Pamplemousse, Framboise, Les note de coeur sont : Bois de...",Standard,2025-11-24
,Best seller eau de toilette pour homme 95ml-camara,Camara Perfumes,6291107920412,"60,000 TND",60.0,"88,000 TND",88.0,28.0,https://cosmetique.tn/eaux-de-toilette-hommes/5129-best-seller-eau-de-toilette-pour-homme-95ml-camara-.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/12155-thickbox_default/best-seller-eau-de-toilette-pour-homme-95ml-camara-.jpg,"L'eau de toilette Best Seller pour homme est fabriqué par Camara Perfumes.
Les notes de tete sont: Citron vert, pamplemousse,
Les notes de cœur sont: Herbes, Baume, Lavande 
Les notes de base sont: Bois, Cèdre, Musc
Notre parfum Pamplemousse Citron vert est un véritable cocktail vitaminé ! En effet, il se compose en notes de tête de Pamplemousse et...",Standard,2025-11-24
,Beurer stérilisateur a la vapeur d'eau BY 76,BEURER,4211125953089,"250,000 TND",250.0,"269,000 TND",269.0,19.0,https://cosmetique.tn/sterilisateur-biberon/8413-beurer-sterilisateur-a-la-vapeur-d-eau-by-76.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/19982-thickbox_default/beurer-sterilisateur-a-la-vapeur-d-eau-by-76.jpg,"Ce Stérilisateur à la vapeur d'eau numérique Beurer BY 76 vous garantit une simplicité d'exécution ainsi qu'une efficacité de désinfection des biberons de votre nourrisson. Grâce à ses nombreuses fonctionnalités, vous pourrez bénéficier d'un nettoyage rapide et uniforme.
Cet appareil dispose d'un affichage LED pour une lecture optimale du temps de...",Standard,2025-11-24
,Black mask - ô dāw,Ô Dāw,6192478400827,"24,000 TND",24.0,"28,000 TND",28.0,4.0,https://cosmetique.tn/masques-visage-et-gommage/6492-black-mask-o-daw.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/15985-thickbox_default/black-mask-o-daw.jpg,"Black Mask de la marque ô dāw, PEELING DOUX, nettoie, purifie, éclaircie 
Utilisation:

2 fois par mois, appliquez sur le visage et laissez poser 5 minutes.
Rincez abondamment.
Evitez le contour des yeux et des lèvres .
En cas de contact avec ceux ci, les rincer immédiatement",Standard,2025-11-24
,Boulevard Baron Haussmann eau de parfum pour homme 100ml,Boulevard paris,3770006449178,"60,000 TND",60.0,"70,000 TND",70.0,10.0,https://cosmetique.tn/eaux-de-parfum-homme/8786-boulevard-baron-haussmann-eau-de-parfum-pour-homme-100ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20744-thickbox_default/boulevard-baron-haussmann-eau-de-parfum-pour-homme-100ml.jpg,"Parfum oriental - fougère pour homme. Les notes de tête sont le rhum, l'élémi et la bergamote.
Les notes de cœur sont la lavande et le davana.
Les notes de fond sont la châtaigne, la vanille de Madagascar, le bois de cèdre et le patchouli.",Standard,2025-11-24
,Boulevard paris eau de parfum pour femme Courcelles 100ml,Boulevard paris,3770006449338,"66,000 TND",66.0,"76,000 TND",76.0,10.0,https://cosmetique.tn/eaux-de-parfum-femme/9223-boulevard-paris-eau-de-parfum-pour-femme-courcelles-100ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/21608-thickbox_default/boulevard-paris-eau-de-parfum-pour-femme-courcelles-100ml.jpg,"Notes de tête : fleur d'oranger/bergamote
Notes de cœur : tubéreuse/jasmin
Notes de fond : vanille/cèdre/musc",Standard,2025-11-24
,Boulevard paris eau de parfum pour femme La Seine 100ml,Boulevard paris,3770006449321,"59,000 TND",59.0,"76,000 TND",76.0,17.0,https://cosmetique.tn/eaux-de-parfum-femme/9222-boulevard-paris-eau-de-parfum-pour-femme-la-seine-100ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/21606-thickbox_default/boulevard-paris-eau-de-parfum-pour-femme-la-seine-100ml.jpg,"Notes de tête : Mandarine / Cassis / Lavande
Notes de cœur : Orange / Lavande / Jasmin
Notes de fond : Ambroxan",Standard,2025-11-24
,Boulevard paris eau de parfum pour homme Grands Boulevards 100ml,Boulevard paris,3770006449314,"70,000 TND",70.0,"76,000 TND",76.0,6.0,https://cosmetique.tn/eaux-de-parfum-homme/9221-boulevard-paris-eau-de-parfum-pour-femme-grands-boulevards-100ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/21602-thickbox_default/boulevard-paris-eau-de-parfum-pour-femme-grands-boulevards-100ml.jpg,"Notes de tête : orange de Sicile, bergamote de Calabre et citron de Sicile.
Les notes de cœur sont des fruits.
La base du parfum est composée de musc blanc, de vanille de Madagascar et d'ambre.",Standard,2025-11-24
,Boulevard paris haussmann eau de parfum pour homme 100ml,Boulevard paris,3770006449000,"60,000 TND",60.0,"70,000 TND",70.0,10.0,https://cosmetique.tn/eaux-de-parfum-homme/8497-boulevard-paris-haussmann-eau-de-parfum-pour-homme-100ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20189-thickbox_default/boulevard-paris-haussmann-eau-de-parfum-pour-homme-100ml.jpg,"haussmann eau de parfum pour homme 100ml
Note de Tête : Lavandin, Bergamote, Feuille d’Ananas
Note de Coeur : Jasmin, Rose, Bois de Cèdre, Pomarose
Note de Fond : Ambroxan, Santal, Fève Tonka, Evernyl",Standard,2025-11-24
,Boulevard paris Montmartre eau de parfum pour femme 100ml,Boulevard paris,3770006449130,"55,000 TND",55.0,"60,000 TND",60.0,5.0,https://cosmetique.tn/eaux-de-parfum-femme/8683-boulevard-paris-montmartre-eau-de-parfum-pour-femme-100ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20569-thickbox_default/boulevard-paris-montmartre-eau-de-parfum-pour-femme-100ml.jpg,"Notes élevées :Notes oranges et vertes
Notes du milieu :Tubéreuse, jasmin, chèvrefeuille
Notes basales :Lys, bois de santal, vanille",Standard,2025-11-24
,Boulevard paris pont alexandre III eau de parfum pour homme 100ml,Boulevard paris,3770006449086,"70,000 TND",70.0,"76,000 TND",76.0,6.0,https://cosmetique.tn/eaux-de-parfum-homme/8494-boulevard-paris-pont-alexandre-iii-eau-de-parfum-pour-homme-100ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20181-thickbox_default/boulevard-paris-pont-alexandre-iii-eau-de-parfum-pour-homme-100ml.jpg,"Pont alexandre III  eau de parfum pour homme 100ml
Note de Tête : Bergamote – Poivre rose – Menthe – Citron
Note de Cœur : Jasmin – Noix de muscade – Gingembre
Note de Fond : Ambre – Encens – Patchouli – Bois de santal",Standard,2025-11-24
,Boulevard paris port royal eau de parfum pour homme 100ml,Boulevard paris,3770006449093,"55,000 TND",55.0,"61,500 TND",61.5,6.5,https://cosmetique.tn/eaux-de-parfum-homme/8681-boulevard-paris-port-royal-eau-de-parfum-pour-homme-100ml.html,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20236%20305'%3E%3C/svg%3E",https://cosmetique.tn/20567-thickbox_default/boulevard-paris-port-royal-eau-de-parfum-pour-homme-100ml.jpg,"Notes de tête : bergamote, lavande
Notes de cœur : lys, ambre gris, ambrette, cacao
Notes de fond : bois de cèdre, vétiver, cuir, patchouli",Standard,2025-11-24
